id,tweet,label
23,evcil hayvanınızla fotoğraf çekilmeyi nasıl başarıyorsunuz. benimki kamerayı görünce vergi görmüş suriyeli gibi kaçıyor da.,nefret
24,suriyeli ilk kapıya geldiğinde kapıları açtınız ve halk onlara destek olup yardım etti. ama sayıları 5 milyonu bulup bir sürü sorun oluşunca haliyle yeter bitsin bu misafirlik dedi. bu da gayet doğal. bu kadar fedakarlıktan sonra bu halk yorulup yeter dedi diye vefasızlık etmeyin,hiçbiri
25,"kılıçdaroğlu ""afrin'de sorun çıktı şimdi 3 milyon suriyeli daha gelecek. bakın göreceksiniz.""",hiçbiri
26,#sondakika cumhurbaşkanı erdoğan'dan abd ve ab'ye suriyeli mülteciler mesajı kapıları açmak zorunda kalırız. ab başta olmak üzere dünyadan olması gereken desteği alamadık almak için de bunu yapmak zorunda kalabiliriz,hiçbiri
27,suriyeli bir talibim varsa açılabilir en azından gitmez,hiçbiri
28,1 suriyeli 1 türk yine 2. sınıf vatandaş muamelesi,nefret
29,çalışma bakanlığı öncülüğünde başlatılan programa göre suriyeli işçi çalıştırılan işyerlerine 11 bin 400 tl'ye kadar teşvik verilecek. bu proje ile suriyelilerin sigortalı çalıştırılmasının önü açılacakmış!,hiçbiri
30,suriyeli ülkesine dönsün demek suriyeliden nefret etmek ya da ölürse ölsün demek değil. vatandaşın maddi manevi çektiği sıkıntılardan kurtulmak isteyişi. siz de kabul ettiğiniz üzere büyük bir sıkıntı var ve bu yük en çok halkın üstünde. bir de vicdansız diye iftira etmeyin artık.,hiçbiri
31,neden suriyeli ile birlikte türk işe alındığında teşvik veriliyor. iyice adamların yanında promosyon olduk. iki türk alınsın suriyeli de kendi memleketine dönsün.,nefret
32,polis baskın yaptı onlar türk kahvesi içti! rahatlıkları pes dedirtti haberin devamı #yenikapı #suriye #suriyeli #haber #perşembe #avrupayakasıyenidenbaşlasın #haydi12adam #makam #renault #gözucutr #sondakika,hiçbiri
33,kılıçdaroğlu “afrin'de sorun çıktı şimdi 3 milyon suriyeli daha gelecek. bakın göreceksiniz.” #foxhaber #afrin #suriye,hiçbiri
34,cumhurbaşkanı erdoğan yeni göç dalgasıyla sınırımıza gelen suriyelilere kapılarımızı açmak zorunda kalabiliriz diyor. ne zorunluluğu 5 milyon sayıları vardı şimdi kaç milyon daha gelecek. ben ülkemde değil 5 milyon bir tane bile suriyeli istemiyorum. burası benim vatanım,nefret
35,türkiye'deki suriyeli girişimcilerin yüzde 72'si savaş bitse bile ülkesine dönmek istemiyor,hiçbiri
36,kılıçdaroğlu böyle giderse 3 milyon suriyeli daha gelecek,hiçbiri
37,istanbul fatih'te önce suriyeli zannettiğim sonradan filistinli olduklarını öğrendiğim 2 filistinliye rastladım sevindim kardeşlerim hoşgeldiniz dedim hoşbeş muhabbet derken sorgu bölümüne geçtik sordum buraya nasıl geldiniz? suudi arabistan üzerindenmiş,hiçbiri
38,ülkelerine dönmeleri için bir sebep kalmadı suriyeli işçi çalıştırana 11 bin 400 lira destek verilecek!,hiçbiri
39,alt katta inşaat çalışması var. matkap sesinin daha ne kadar süreceğini sormak için indim. suriyeli bir çocuk çalışıyordu evde. dedim bu ses ne kadar sürecek? immm 11 dakika dedi. zaman belirlemede suriyeli gibi ol.,hiçbiri
40,"eeeyyy rubin? 3,5 milyon suriyeli ülkesini terk edip türkiye'ye geldi. bu şu demek abd ve kürtler bölgede etnik temizlik yaptı demek. bölgeyi kontrol etme hakkı suriyededir o yapamıyorsa türkiye'dedir. orada abd'nin kürdün ne işi var?...",nefret
41,suriyeli sığınmacılar konusunda ab başta olmak üzere dünyadan gerekli desteği alamadık almak...,hiçbiri
42,devletimiz suriyeli işçi çalıştıran firmalara 11.400 tl destek vereceğini açıklamış. allah sizi bildiği gibi yapsın. ! #perşembe #suriyeliistemiyoruz,nefret
43,adana'da suriyeli çok birine aşık olacağım diye korkuyorum çünkü güzeller,hiçbiri
44,cumhurbaşkanı #erdoğan hedefimiz suriyeli kardeşlerimizden en az 1 milyonunu 450 kilometrelik sınır hattı boyunca oluşturacağımız güvenli bölgede iskan etmektir...,hiçbiri
45,ya adama bakar mısınız sanki babasının evinin kapısını açıyor... insanlar rezil olmuş rezillik paçalardan akıyor istemiyoruz sn cumhurbaşkanı ülkemizde suriyeli istemiyoruz bir halkına sor bakalım biz bunları istemiyoruz!,nefret
46,bu avrupa birliği harbiden mal... bu konuda türkiye'nin yanında olması gerekirken karşısında oluyor... be salak herifler kapıları açtığımızda ne bok yiyeceksiniz... akp en çok suriyeli konusundan gol yedi suriye tarafından yeni bir göç dalgası olursa e mecbur kapıları açacak,saldırgan
47,cumhurbaşkanı erdoğan'dan abd ve ab'ye suriyeli mülteciler mesajı kapıları açmak zorunda kalırız. ab başta olmak üzere dünyadan olması gereken desteği alamadık almak için de bunu yapmak zorunda kalabiliriz,hiçbiri
48,böyle bir suriyeli bulsam fena sikerim,nefret
49,abd ve ab'ne ekonomik yükü suriyeli mültecilerde sembolize eden gözdağı niteliğinde mündemiç kendi içinde saklı yapay ecrimisil türkiye'nin uğradığı kayıpların telafisinde rücü bile sayılamayacak ölçekte siyasi takiyecilik içeriği boş farazi söylem...,hiçbiri
50,erdoğan cumhurbaşkanlığı hükümet sisteminden geri dönüş yok cumhurbaşkanlığı hükümet sisteminden geri dönüş olmadığını söyleyen erdoğan ayrıca hedefimiz suriyeli kardeşlerimizden en az 1 milyonunu 450 kilometrelik sınır hattında iskan etmektir dedi,hiçbiri
51,ensar muhacir benzetimlerini bir çırpıda geçelim... onlar suriyeli olgusuna toplumsal onay boyutu kazandırmak için piyasaya sürülmüş lakırdılar!...,nefret
52,reis yine aklımı okudu. dünyaya suriyeli mülteci mesajı ya destek verin ya da kapıları açmak zorunda kalırız,hiçbiri
53,saçımı düz yapıyorum suriyeli diyorlar kıvırcık bırakıyorum şehinşah özentisi diyorlar olum siktirin gidin lan mal mısınız aq,nefret
54,"fırat'ın doğusunda abd ile yaratılan ""güvenli bölge"" krizini fırsat bilerek erdoğan'ın suriyeli sığınmacılara sınır kapılarını açma izansızlığı türkiye'nin güvenliğini riske eden legal işgal planı askeri seçeneklerin kullanılmasını akamete uğratarak mukavemetsiz bırakacak defacto",hiçbiri
55,erdoğan'dan suriyeli açıklaması biz ensar olmaya talibiz 1 milyon yeni suriyeli gelebilir kapıları açarız,hiçbiri
56,devletten suriyeli işçi çalıştırana 11 bin 400 tl destek sonra öğretmene bütçe yok.,hiçbiri
57,"cumhurbaşkanı güvenli bölge yapamazsak kapıları açarız demiş alın alın onları da alın. hatta ""her eve bir suriyeli"" kampanyası da yapın tam olsun",nefret
58,pes dedirtecek bir olay kendisini doktor olarak tanıtan suriye uyruklu bir kadın evini merdiven altı muayenehaneye (!) çevirmiş. biz de bu tespiti sığınmacılarla ilgili süreçten sorumlu yöneticilerin dikkatlerine sunuyoruz!,nefret
59,türkiye'nin avrupa'ya gitmek isteyen suriyeli mültecilere engel olmayı onları türkiye'de tutmayı ve gitmiş olanların türkiye'ye iadesini kabul etmesi siyasi bir hata öngörüsüzlük falan değil silivri soğuğundan dolayı söyleyemeyeceğim bir şeydir.,hiçbiri
60,ab'den kendi elimizle oluşturduğumuz suriyeli mülteci sorunu için para dilenmek yerine şey deneyebiliriz mesela ayağımızı yorganımıza göre uzatmayı,hiçbiri
61,suriyeli işçi istihdamına 11 bin 400 liraya kadar yardım,hiçbiri
62,dünyaya etkili suriyeli mülteci mesajı veriniz. bu sorun sadece benim meselem değil insanlık meselesidir. kapıları açmama ramak kaldı.,hiçbiri
63,itibardan tasarruf olmaz dediler bin odalı sarayda yaşadılar. aynı fırsatçılığı suriye politikası yaptılar ülkemize 4 milyondan fazla düşük profilli suriyeli yerleşti. ata yurdu ne bereketli görüyor musunuz!,nefret
64,yükseköğretimde suriyeli kadın öğrenciler projesi başladı,hiçbiri
65,"erdoğan ""batı verilen sözü tutmadı. güvenli bölge olmazsa kapıları açmak zorunda kalırız. destek verecekseniz verin vermeyecekseniz kusura bakmayın. hazırlıklarımız tamam..."" ayrıca 1 milyon suriyeli tampon bölgeye iskan edilecekmiş. bu çıkışın anlamı net",hiçbiri
66,cb suriyeli kardeşlerimiz diyor! bunlar ne ara bizim kardeşimiz oluyor. ben asla kabullenmiyorum. kendisi nüfusuna alıp kardeş olarak kabul etmeli bence. zaten fazlasıyla saraya para giriyor. üstelik 74.500 tl ile maaş rekoru kırıyor. suriyeliler ancak benim köpeğim olabilir.,nefret
67,eylülün son haftasına kadar güvenli bölgeyi fiilen başlatmakta kararlı olduklarını belirten erdoğan hedeflerinin yaklaşık 1 milyon suriyeliyi bölgeye iskan etmek olduğunu kaydetti. abd ile #sdf erdoğan'ın tüm mültecileri oraya yerleştirme planına karşı çıkıyor.,hiçbiri
68,6 milyon suriyelinin türkiye'ye alınmasının ensarlık ile hiçbir alakası yok. israilin güvenliğini sağlamak için suriyenin içini boşaltıp sonra da boşaltılan bölgelerin israil'in güvenliğini sağlayan gruplarca doldurulması sağlanacaktır ve bu görev bizzat türkiye'ye verildi.,hiçbiri
69,lan türko bırak yenikapı'yı clio'yu suriyeli kardeşlerin geliyor eller ceplere,nefret
70,cumhurbaşkanı erdoğan genişletilmiş il başkanları toplantısında 3 milyon 650 bin sığınmacıya 8 yıldır ev sahipliği yaptığımızı yapılan harcamaların toplamı ise 40 milyar doları bulduğunu dile getirdi. #suriyeli #mülteci #akp #sığınmacı,hiçbiri
71,erdoğan'dan suriyeli açıklaması güne başlarken çok korkunç bir haber! maalesef başta güney illerimiz olmak üzere ülke göç dalgası altında kalacak!,hiçbiri
72,idlib'in düşmesi türkiye için 3 milyon suriyeli mülteci demek...,hiçbiri
73,bunu en başından yapacaktık ki bugün bu kadar köşeye sıkışmış olmayacaktık... 5 milyon suriyeli yunanistan'ı çatal bıçakla fetheder!,hiçbiri
74,suriyeliler için kapıları açılıyor yüzbinlerce geliyorlar ülkemde suriyeli istemiyorum #yenikapı,nefret
75,güvenli bölge olsun veya olmasın sınırlarımızdan içeriye bir tek suriyeli daha almayacaksınız türkiye dingonun ahırı değil bizim atalarımız kadınıyla çocuğuyla savaştı ne için? vatanıma vatansızlar gelsin kara bulut gibi çöksünler diye mi #perşembe,nefret
76,devlet eli ile suriyeli işçi alımına teşvik türkler aç gezse de olur #ibbyeboykot #birkezolsuntepkikoyun #yenikapı #suriyelileristemiyoruz #suriyeliler,nefret
77,istanbul'un da aralarında bulunduğu beş ilde suriyeli işçilerin sigortalı çalıştırılmasına yönelik yürütülen program kapsamında 1 suriyeli 1 türk işçiyi işe alan işverene 11 bin 400 liraya kadar teşvik veriliyor.,hiçbiri
78,türk veya suriyeli işçi çalıştıran işverenlere bu işçileri kayıt ettirmesi durumunda teşvik verilecek. proje yalnızca istanbul adana bursa hatay ve konya'da geçerli. toplamda 1.100 türk vatandaşı ve 1.100 suriyeli için teşvik verilecek.,hiçbiri
79,"program ""sadece suriyeli işçileri değil"" kaçak olarak çalıştırılan veya yeni işe alınacak olan türk vatandaşlarını da kapsamaktadır. bu bir ab projesidir ve program kapsamında verilen teşvik miktarının tamamı avrupa birliği üye ülkelerinden karşılanmaktadır.",hiçbiri
80,"""suriyeli işçi istihdam edene teşvik"" başlığı ile bir çok haber sitesinde ve sosyal medya hesaplarında paylaşılmaya başlanan teşvik programı ile ilgili yanlış anlamaların önüne geçmek için bir haber hazırladık.",hiçbiri
81,cumhurbaşkanı erdoğan suriyeli sığınmacıları kovanları görüyoruz bunlar mandacı zihniyet,hiçbiri
82,gözümüz aydın yeni suriyeli akımı geliyor erdoğan kendi ağzı ile diyor #ibbyeboykot #israf #yenikapı #birkezolsuntepkikoyun #suriyelileristemiyoruz #suriyeliler,nefret
83,bursa dahil 5 ilde suriyeli işçi çalıştırana devletten yardım,hiçbiri
84,#canli cumhurbaşkanı erdoğan suriyeli sığınmacılar yaptığımız harcamalar 40 milyar doları buldu,hiçbiri
85,yan eve suriyeli taşınmış bıktım artık suriyelilerden #suriyelileristemiyoruz,nefret
86,suriyeli gibi kaçabiliriz,nefret
87,suriyeliler karşılığında yine para istiyor. batı bu parayı verir ama karşılığında milyonlarca suriyeli ülkeye girer.,hiçbiri
88,ya adam çıkmış hala 40 milyar dolar harcadık suriyelilere diyor yaaa millet aç aç banane senin suriyeli ensar kardeşlerinden ben bunları cuma namazında bile görmüyorum ensarmış ben de osmanlı torunuyum benim hakkımı neden vermiyor devlet neden gasp ediyor onun hesabını ver!,nefret
89,"sabah midyat'tan diyarbakır'a suriyeli bir aile ile geldim otobüste ""bir çocuk büyümeden diğerini yapıyorlar"" gibi onların haberi olmadan bir sürü şey söylediler pardon insanların hayatlarıyla ilgili bu kadar yorum yapabilme hakkını size kim veriyor",hiçbiri
90,suriyelilerin mutluluğu çıldırtıyor. rahat olmaları toplumu geriyor savaş sonrası umursamadan çocuk yapabilmeleri haset topluyor. suriyeli bir doktorun halkının sağlık sorununu çözümü hürriyete dert olmuş.,hiçbiri
91,suriyeli öğrencilere var bizim çocuklarımıza yok,nefret
92,unhcr'ın 26/04/2019 tarihli verileri göç alan ülkelerdeki suriyelilere ilişkin durumu göstermektedir. suriyeli göçünün göç eyleminde yöneldiği ülkelerdeki sayıları görsel olarak sunmak için bu verileri referans alarak hazırladığım grafiği inceleyebilirsiniz. #migration,hiçbiri
93,her şey çok güzel valla geçen yıl 840 olan öğrenci sayısı 890 ve 130 tane de suriyeli gelme ihtimali var bilin bakalım ne eksik? sıra yok sıra...,hiçbiri
94,evini kaçak muayenehaneye çeviren suriyeli polis baskını sırasında ailesiyle kahve içti! rahatlar çünkü ülkede doğru düzgün yaptırım olmadığını biliyorlar. hırsızlık adam yaralama tehdit... ölüm hariç hiç bir şeyin cezası yok. #afdeğilcaydiriciceza,nefret
95,"suriyeli hastanın irili ufaklı 7 tane çocuğu olduğunu gören yaşlı bir hastam ""kızım evlenip bunlardan fazla doğurmanız lazım yoksa geçemeyeceğiz bu amına koyduklarımı"" dedi. asfsada dayı bu bana yüklediğin nasıl bir sorumluluktur",nefret
96,çalışma bakanlığı suriyeli işçi çalıştırılan işyerlerine 11 bin 400 tl'ye kadar teşvik verilecek. bu proje ile suriyelilerin sigortalı çalıştırılmasının önü açılacak. sigortasız çalıştırılan kendi vatandaşlarına köpek muamelesi yapan devlet!,hiçbiri
97,suriyeli gitsin diyoruz surili dolduruyorlar ... allah kahretsin ya ...,nefret
98,bununla da kalmıyor. türkiye'de de müslüman araplara karşı siyaseten ve toplumsal düşmanlık körükleniyor. suriyeli ve afganlara ürün satmayan esnaf tabelaları arapça tabela yasağı chp ve ip'liler...,hiçbiri
99,yiğit'in yanına suriyeli kız çocuğunu oturtmuşlar.,nefret
100,hakikaten ab mülteci anlaşmasından vazgeçip kapıları açmak lazım. suriyeli “ mültecileri” ab yolu açık olsun...,hiçbiri
101,sevgili gökhan türkiye'de yaşayan türklere türk denir türkiye'de yaşayan kürtlere kürt denir türkiye'de yaşayan ermenilere ermeni denir türkiye'de yaşayan boşnaklara boşnak denir dileğim ise hep beraber huzur içinde beraberce yaşamak,hiçbiri
102,devlete seri katil diyen cumhurbaşkanına küfür eden 15 temmuz'da darbecileri destekleyen ermeni soykırımı vardır diye tweetler atan pkk'lılara açıktan destek veren chp istanbul il başkanı canan kaftancıoğlu 9 yıl 8 ay hapis cezasına çarptırıldı.,hiçbiri
103,türkiye ermenileri yeni patriğini seçmeye hazırlanıyor. ancak ermeni toplumu içinde patrik seçimi ile ilgili yoğun bir tartışma yaşanıyor,hiçbiri
104,evet bonzailenmiş şizofrenler tıpış tıpış bunu savunuyorlar. bununla birlikte bölücü terör örgütü hdpkk'yı sözde ermeni şeysi yalanını bölünüp parçalanmayı vs vs... neyse ki arada uyanıp soru soranlar var. umutluyuz. komadan ya çıkacaklar ya çıkarılacaklar.,nefret
105,"fransızların ""ermeni aşkı""... fransa arnavutluk karşılaşması öncesinde arnavutluk milli marşının yerine karadağ milli marşı çalındı. anonsçu ""ermenistan milli takımından özür diliyoruz"" diyerek bu sefer de ermenistan milli marşını çaldı. #fransa",hiçbiri
106,güney afrika'da müslüman toplumuna hizmet eden üç büyük osmanlı vardır. bu havalide son 20 yıldır görev yapan diplomatlarımız camiye girmekten korktukları için bu değerlerimizi afrika'ya tanıtamadık. 100 yıl önce g. #afrika'da bu görevi yapan ermeni diplomatımız yohannes efendi.,hiçbiri
107,budunsal etnik yapısı tam 20 öğeli azeri kumuk karaçay balkar nogay kazak ost tat talus kürt çeçen kabard ingus adige abhaza çerkez dağıstan acar kalmuk gürcü ermeni. günümüzde bir başka mozaik ülke abd'dir bir konfederasyon büyük bir mozaik. ama her,hiçbiri
108,ben anadolu insanının yüzlerce yıl yan yana yaşamış olan kürt laz ermeni gürcü çerkes türk zaza... vicdanına güveniyorum. inancına güveniyorum. sanat adı altında benliğini satılığa çıkaran insanlara değil. önde olan bizleriz. #annelerönder #annelerledireniyoruz,hiçbiri
109,ermeni işte ne bekliyorsunuz dağdaki ayı bile bunlardan daha insandır. hala da kalıntılarıyla uğraşıyoruz...,nefret
110,bu soysuz kendi babası kim olduğunu biliyor mu ki sorsan kendi babası bilmez bu ermeni vatan haini,nefret
111,hdp pkk'dır. kürtlerin destekçisi değil ermeni yahudileridir. gerçek yüzünüz ortaya çıktı artık. #sanatçılardiyarbakıra,nefret
112,devletimize katil diyen erdoğan'a hakaretler eden 15 temmuz'da darbecileri destekleyen bir oturuşta sadece 7 dakikada çeyrek domuz yiyen ermeni soykırımı vardır diye tweetler atan terörist sevici canan kaftancıoğlu'na 9 yıl 8 ay hapis cezası verildi.,saldırgan
113,azerbaycanlıyı öldürdüler sürdüler yurdunu yakıp yıktılar. karabağ'ı alıp ermeniye verdiler. ama şimdi devran değişti daha güçlüyüz. askerimiz çok istekli. ermeni de biliyor ki o topraklarımıza döneceğiz. zaman kazanmaya çalışıyor. sığınmaya gölge arıyor. kaybedeceğini anlıyor,nefret
114,ama kimse verilen kararı eleştiriyorum diye emperyalist bir yalan ermeni soykırımını tanıyan ulu önderimizi tartışmaya açan gç insan katili sakine cansız'ı savunan birini savunmam ve üzülmemi beklemesin. umarım bir gün aşağıdaki yazdıklarından hüküm giyer #canankaftancıoğlu,saldırgan
115,bu toprakları tüm farklılıklardan mahrum bıraktınız da ne geçti elinize? rum'a ermeni'ye yahudi'ye süryani'ye bu topraklarda yaşama hakkı vermediniz. elinizde kalandan memnun musunuz?,hiçbiri
116,babam telefonunu almış siri'yle konuşuyor siri sen ermeni misin heee buna da cevap ver bakalım diyor,nefret
117,#canankaftancıoğlu tarihte bugün ermeni soykırımı(!)nda kaybettiği vatandaşlarına ağıt yakarken h.kaplan ne inciler saçıyor... hele nagehan... düşman başına... hepsi aynı soysuzun dölleri... #susma #susmam #birkezolsuntepkikoyun kutlu akşamlar...,saldırgan
118,içinin yağları eridi. ermeni soykırımını kabul eden pkk terör örgütünü halk direnişi olarak lanse edenlerin daha beter cezalar alması gerekiyor.,hiçbiri
119,açık açık pkk terör örgütüne destek veren ve ermeni sevicisi canan kaftancıoğlu'na işleyen adalete sözümüz yok yalnız aynı durumu paylaşan binlercesine de işletilsin ki adalete olan güvenimiz sarsılmasın,nefret
120,ermeni soykırımına destek... vayyy bak bu olmadı işte,hiçbiri
121,canan denen müptezel keşke aihm tarafından yalan olduğu kanıtlanan ermeni soykırımını tanıdığı ve andığı sakine cansız gibi bir insan katilini savunduğu için ceza verilseydi bu şekilde bu aşağılık insanın şov yapmasından başka bir işe yaramıyor #canankaftancıoğlu,saldırgan
122,"2) ""tarihte bugün ermeni soykırımı başladı. katledilen ermeni vatandaşlarımızı anıyoruz. 19.15'te taksim'de."" diye tweet atan da yine canan kaftancıoğlu. bırakın arkasına saklandığı atatürkçülük kılıfını bunun yakınından dahi geçemeyen bir utanmaz kendisi.",saldırgan
123,bu mudur yani? sırf iktidar karşıtı diye ermeni soykırımı var diyen mustafa kemal'in askeri olmayı reddeden birisine özgürlük mü isteyeceğiz? #canankaftancıoğlu,hiçbiri
124,içinde yaşadığın devlete katil de olmayan ermeni soykırımını tanı terörist seviciliği yap domuz eti ye şarap iç %99'u müslüman olan millete hakaret et şehitler için bir kere yürüme türklüğü ırkçılık olarak gör soran olursa ben kemalistim atatürkçüyüm de o da güzelmiş valla,nefret
125,yani bir aslan payını araya koyalım ermeni soykırımı ihanet hakaret maneviyata sövme bunlar birşey değil şizofrenlerim diyorsun!,hiçbiri
126,devlet kırmızı halılarda davul zurna ile senin o şimdi açıklayabildiğin ermeni döllerini karşılayarak megri megri diye halay çekiyor! yetmiyor terörist başlarını halkın parasıyla ayakta duran trt'ye çıkarıyor! yetmiyor bir de sayın (!) apo'nun mektubunu okuyorlar!,nefret
127,peki sn by devlet seri katil midir! devlet kahraman olmak yerine katil olmayı mı tercih etti! partiniz sözde ermeni soykırımını kabul ediyor ve destekliyor mu!? chp çizgisi ve yolu hdp çizgisi ve yolu ile aynı mıdır. bu mudur parti politikanız!?,hiçbiri
128,"türkiye cumhuriyeti devleti'nde ekmek ye su iç sonra ""devlet seri katildir"" de ""ermeni soykırımı vardır"" desin fetöcü hilal kaplan her telden şarkı çalsın oynasın! adalet yok ama canan'a ceza kesildi. hani nerede fetöcü hilal'in cezası...",hiçbiri
129,bugün kaftancıoğlu'nun içeri girmesi meşrulaşırsa ortalama bir muhalifin içeri girmesi meşrulaşmaz. çünkü kaftancıoğlu ortalama bir muhalif değil. sözde ermeni soykırımının varlığını savunup devleti katillikle suçlayan birinden nasıl ortalama muhalif çıkardınız?,hiçbiri
130,devlete seri katil diyen cumhurbaşkanına küfür eden 15 temmuz'da darbecileri destekleyen ermeni soykırımı vardır diye tweetler atan pkk'lılara açıktan destek veren canan kaftancıoğlu 9 yıl 8 ay 20 gün hapis. mesele çok net devlet ile yatağa girilmez canan..??,nefret
131,çok istiyorlarsa kendi çocuklarını göndersinler ah annem ah. bir söz bu kadar net olabilir işte. allah'ım sen bu ermeni artıklarının oyunlarını başlarına yık. bertaraf eyle. helak eyle inşallah. #annelerdireniyor #birannebirdevrimdogurur #annelerindirenisi #protestoediyorum,nefret
132,"biz zaten susmadık da ""sizin polisiniz silahını çekip güpegündüz ortalıkta vuramaz dilediğini"" değil ""herkes ermeni olursa ben kuvayi milliye! 20 yaşında yiğitler gitti ölüme rum'a aç limanı siyonizm planı sağ sol tutmadı şimdi kürt yalanı” dediğimiz için bilinmedik. #susamam",nefret
133,#canankaftancıoğluyalnızdeğildir türkler ermenilere soykırım yaptı diyen kaftancıoğlu'nun yanında olanlar bence bir daha düşünün,hiçbiri
134,cumhurbaşkanına hakaret et şehitlere hakaret et devlete seri katil de ermeni soykırımını tanı dhkpc liderine komutanım diyerek selam gönder pkk'lı teröristlerin öldürülmesini kına ne zannettin canan elimi kolumu sallayarak terör propagandası yaparım mı zannettin?,hiçbiri
135,#annelerdireniyor #annelerleberaberizyasen devlete katil diyen pkk kurucusu sakine cansız a sahip çıkan üstüne bir de ermeni soykırımı safsatasını kabul edene canan kaftancıoğlu denilen terör seviciye hapis cezası az bile gelir. arkasından sınırdışı edilmeli!,saldırgan
136,ermeni soykırımı vardır diyen #canankaftancıoğlu'na 9 yıl şoku pauahahahahshshshshshshshs,hiçbiri
137,ne çok osmanlı torunlarından korkan ermeni sevdalıları var güzel ülkemde... #canankaftancıoğlu,nefret
138,miss ermeni soykırımı hee,hiçbiri
139,bu bir başkaldırmadır haydi tertemiz kürt kardeşler kardeşlik nasıl olur gösterelim sizi kullanan abd israil ermeni soysuzlarına #annelerleberaberizyasen,nefret
